,Variable,Value,Label
457,,3,Agree
458,,4,Strongly agree
459,a23f,1,Strongly disagree
460,,2,Disagree
461,,3,Agree
462,,4,Strongly agree
463,a23g,1,Strongly disagree
464,,2,Disagree
465,,3,Agree
466,,4,Strongly agree
467,a23h,1,Strongly disagree
468,,2,Disagree
469,,3,Agree
470,,4,Strongly agree
471,a23i,1,Strongly disagree
472,,2,Disagree
473,,3,Agree
474,,4,Strongly agree
475,a23j,1,Strongly disagree
476,,2,Disagree
477,,3,Agree
478,,4,Strongly agree
479,a23k,1,Strongly disagree
480,,2,Disagree
481,,3,Agree
482,,4,Strongly agree
483,a24,1,Any
484,,2,4º ESO (I will repeat)
485,,3,1º Bachillerato (Sciences)
486,,4,1º Bachillerato (Humanities and Social Sciences)
487,,5,1º Bachillerato (Arts)
488,,6,FP intermediate
489,,7,FP intermediate (Plastic arts and design)
490,,8,FP intermediate (Music)
491,,9,FP intermediate (Sports)
492,,10,Adult learning programs (EPA)
493,a40a,1,Strongly disagree
494,,2,Disagree
495,,3,Agree
496,,4,Strongly agree
497,a40b,1,Strongly disagree
498,,2,Disagree
499,,3,Agree
500,,4,Strongly agree
501,a40c,1,Strongly disagree
502,,2,Disagree
503,,3,Agree
504,,4,Strongly agree
505,a40d,1,Strongly disagree
506,,2,Disagree
507,,3,Agree
508,,4,Strongly agree
509,a41,1,No
510,,2,"Sí, un curso"
511,,3,"Sí, dos cursos"
512,a42,1,No
513,,2,"Sí, un curso"
514,,3,"Sí, dos cursos"
515,a51,1,Less than two days
516,,2,Between two or more days and less than four days
517,,3,Between four of more days and less than six days
518,,4,Between six or more days and less than fifteen
519,,5,More than fifteen days
520,a61,1,Less than 3 hours
521,,2,Between 3 and 6 hours 
522,,3,Between 6 and 9 hours 
523,,4,Between 9 and 12 hours 
524,,5,Between 12 and 15 hours 
525,,6,Between 15 and 18 hours 
526,,7,Between 18 and 21 hours 
527,,8,More than 21 hours
528,a71,1,Less than 15 minutes
529,,2,Between 15 minutes and 30 minutes
530,,3,Between 31 minutes and 45 minutes
531,,4,Between 46 minutes and 60 minutes
532,,5,More than 1 hour
533,a111a,1,Never/almost never
534,,2,In some classes
535,,3,In almost all classes
536,,4,In all classes
537,a141g,1,Strongly disagree
538,,2,Disagree
539,,3,Agree
540,,4,Strongly agree
541,a144d,1,Strongly disagree
542,,2,Disagree
543,,3,Agree
544,,4,Strongly agree
545,a144h,1,Strongly disagree
546,,2,Disagree
547,,3,Agree
548,,4,Strongly agree
549,a160k,1,Never/almost never
550,,2,Sometimes
551,,3,Many times/often
552,,4,Almost always/always
553,a162k,1,Never/almost never
554,,2,Sometimes
555,,3,Many times/often
556,,4,Almost always/always
557,a163k,1,Never/almost never
558,,2,Sometimes
559,,3,Many times/often
560,,4,Almost always/always
561,a166f,1,Strongly disagree
562,,2,Disagree
563,,3,Agree
564,,4,Strongly agree
565,a166k,1,Strongly disagree
566,,2,Disagree
567,,3,Agree
568,,4,Strongly agree
569,a171h,1,Strongly disagree
570,,2,Disagree
571,,3,Agree
572,,4,Strongly agree
573,a177d,1,Strongly disagree
574,,2,Disagree
575,,3,Agree
576,,4,Strongly agree
577,a211a,1,Never/almost never
578,,2,Sometimes
579,,3,Many times/often
580,,4,Almost always/always
581,a222b,1,Never/almost never
582,,2,Sometimes
583,,3,Many times/often
584,,4,Almost always/always
585,country_iso_cnac,,ISO codes 3 digits
586,country_iso_nac,,ISO codes 3 digits
587,d1,1,Boy
588,,2,Girl
589,d2n,1 a 99,Age
590,d3n,1 a 50,Years
591,d4n,1 a 50,Years
592,d5n,1 a 50,Years
593,d6n,1 a 50,Years
594,d7n,1 a 30,Hours
595,d8n,1 a 10,Number of directors/principals
596,d9a1,1 a 10000,Number of students
597,d9a2,1 a 10000,Number of groups
598,d9b1,1 a 10000,Number of students
599,d9b2,1 a 10000,Number of groups
600,d9c1,1 a 10000,Number of students
601,d9c2,1 a 10000,Number of groups
602,d9d1,1 a 10000,Number of students
603,d9d2,1 a 10000,Number of groups
604,d9e1,1 a 10000,Number of students
605,d9e2,1 a 10000,Number of groups
606,d9f1,1 a 10000,Number of students
607,d9f2,1 a 10000,Number of groups
608,d9g1,1 a 10000,Number of students
609,d9g2,1 a 10000,Number of groups
610,d9h1,1 a 10000,Number of students
611,d9h2,1 a 10000,Number of groups
612,d10a,,ratio
613,d10b,,ratio
614,d10c,,ratio
615,d11an,0 a 500,Number of students
616,d11bn,0 a 500,Number of students
617,d12an,,Number of teachers
618,d12bn,,Number of teachers
619,d13n,,Number of teachers
620,d14,1,Almost no change
621,,2,Less than 25%
622,,3,Between 25% and 50%
623,,4,More than 50%
624,d15,1,Not at all adequate
625,,2,Barely adequate
626,,3,Adequate
627,,4,Very adequate
628,d16an,0 a 2000,Number of resources
629,d16bn,0 a 2000,Number of resources
630,d16cn,0 a 2000,Number of resources
631,d16dn,0 a 2000,Number of resources
632,d16en,0 a 2000,Number of resources
633,d16fn,0 a 2000,Number of resources
634,d17a,1,Not at all
635,,2,Low importance
636,,3,Up to a certain point
637,,4,A lot
638,d17b,1,Not at all
639,,2,Low importance
640,,3,Up to a certain point
641,,4,A lot
642,d17c,1,Not at all
643,,2,Low importance
644,,3,Up to a certain point
645,,4,A lot
646,d17d,1,Not at all
647,,2,Low importance
648,,3,Up to a certain point
649,,4,A lot
650,d17e,1,Not at all
651,,2,Low importance
652,,3,Up to a certain point
653,,4,A lot
654,d17f,1,Not at all
655,,2,Low importance
656,,3,Up to a certain point
657,,4,A lot
658,d17g,1,Not at all
659,,2,Low importance
660,,3,Up to a certain point
661,,4,A lot
662,d17h,1,Not at all
663,,2,Low importance
664,,3,Up to a certain point
665,,4,A lot
666,d18a,1,it is not an inconvenience
667,,2,It is a slight inconvenience
668,,3,It is a moderate inconvenience
669,,4,It is a serious inconvenience
670,d18b,1,it is not an inconvenience
671,,2,It is a slight inconvenience
672,,3,It is a moderate inconvenience
673,,4,It is a serious inconvenience
674,d18c,1,it is not an inconvenience
675,,2,It is a slight inconvenience
676,,3,It is a moderate inconvenience
677,,4,It is a serious inconvenience
678,d18d,1,it is not an inconvenience
679,,2,It is a slight inconvenience
680,,3,It is a moderate inconvenience
681,,4,It is a serious inconvenience
682,d18e,1,it is not an inconvenience
683,,2,It is a slight inconvenience
684,,3,It is a moderate inconvenience
685,,4,It is a serious inconvenience
686,d18f,1,it is not an inconvenience
687,,2,It is a slight inconvenience
688,,3,It is a moderate inconvenience
689,,4,It is a serious inconvenience
690,d18g,1,it is not an inconvenience
691,,2,It is a slight inconvenience
692,,3,It is a moderate inconvenience
693,,4,It is a serious inconvenience
694,d18h,1,it is not an inconvenience
695,,2,It is a slight inconvenience
696,,3,It is a moderate inconvenience
697,,4,It is a serious inconvenience
698,d18i,1,it is not an inconvenience
699,,2,It is a slight inconvenience
700,,3,It is a moderate inconvenience
701,,4,It is a serious inconvenience
702,d18j,1,it is not an inconvenience
703,,2,It is a slight inconvenience
704,,3,It is a moderate inconvenience
705,,4,It is a serious inconvenience
706,d18k,1,it is not an inconvenience
707,,2,It is a slight inconvenience
708,,3,It is a moderate inconvenience
709,,4,It is a serious inconvenience
710,d18l,1,it is not an inconvenience
711,,2,It is a slight inconvenience
712,,3,It is a moderate inconvenience
713,,4,It is a serious inconvenience
714,d18m,1,it is not an inconvenience
715,,2,It is a slight inconvenience
716,,3,It is a moderate inconvenience
717,,4,It is a serious inconvenience
718,d18n,1,it is not an inconvenience
719,,2,It is a slight inconvenience
720,,3,It is a moderate inconvenience
721,,4,It is a serious inconvenience
722,d19a,1,It is not a problem
723,,2,It is a slight problem
724,,3,It is a moderate problem
725,,4,It is a serious problem
726,d19b,1,It is not a problem
727,,2,It is a slight problem
728,,3,It is a moderate problem
729,,4,It is a serious problem
730,d19c,1,It is not a problem
731,,2,It is a slight problem
732,,3,It is a moderate problem
733,,4,It is a serious problem
734,d19d,1,It is not a problem
735,,2,It is a slight problem
736,,3,It is a moderate problem
737,,4,It is a serious problem
738,d19e,1,It is not a problem
739,,2,It is a slight problem
740,,3,It is a moderate problem
741,,4,It is a serious problem
742,d19f,1,It is not a problem
743,,2,It is a slight problem
744,,3,It is a moderate problem
745,,4,It is a serious problem
746,d19g,1,It is not a problem
747,,2,It is a slight problem
748,,3,It is a moderate problem
749,,4,It is a serious problem
750,d19h,1,It is not a problem
751,,2,It is a slight problem
752,,3,It is a moderate problem
753,,4,It is a serious problem
754,d19i,1,It is not a problem
755,,2,It is a slight problem
756,,3,It is a moderate problem
757,,4,It is a serious problem
758,d19j,1,It is not a problem
759,,2,It is a slight problem
760,,3,It is a moderate problem
761,,4,It is a serious problem
762,d19k,1,It is not a problem
763,,2,It is a slight problem
764,,3,It is a moderate problem
765,,4,It is a serious problem
766,d19l,1,It is not a problem
767,,2,It is a slight problem
768,,3,It is a moderate problem
769,,4,It is a serious problem
770,d19m,1,It is not a problem
771,,2,It is a slight problem
772,,3,It is a moderate problem
773,,4,It is a serious problem
774,d19n,1,It is not a problem
775,,2,It is a slight problem
776,,3,It is a moderate problem
777,,4,It is a serious problem
778,d19o,1,It is not a problem
779,,2,It is a slight problem
780,,3,It is a moderate problem
781,,4,It is a serious problem
782,d19p,1,It is not a problem
783,,2,It is a slight problem
784,,3,It is a moderate problem
785,,4,It is a serious problem
786,d19q,1,It is not a problem
787,,2,It is a slight problem
788,,3,It is a moderate problem
789,,4,It is a serious problem
790,d19r,1,It is not a problem
791,,2,It is a slight problem
792,,3,It is a moderate problem
793,,4,It is a serious problem
794,d20a,1,Not at all
795,,2,A little
796,,3,Considerably
797,,4,A lot
798,d20b,1,Not at all
799,,2,A little
800,,3,Considerably
801,,4,A lot
802,d20c,1,Not at all
803,,2,A little
804,,3,Considerably
805,,4,A lot
806,d20d,1,Not at all
807,,2,A little
808,,3,Considerably
809,,4,A lot
810,d20e,1,Not at all
811,,2,A little
812,,3,Considerably
813,,4,A lot
814,d20f,1,Not at all
815,,2,A little
816,,3,Considerably
817,,4,A lot
818,d20g,1,Not at all
819,,2,A little
820,,3,Considerably
821,,4,A lot
822,d20h,1,Not at all
823,,2,A little
824,,3,Considerably
825,,4,A lot
826,d20i,1,Not at all
827,,2,A little
828,,3,Considerably
829,,4,A lot
830,d20j,1,Not at all
831,,2,A little
832,,3,Considerably
833,,4,A lot
834,d20k,1,Not at all
835,,2,A little
836,,3,Considerably
837,,4,A lot
838,d20l,1,Not at all
839,,2,A little
840,,3,Considerably
841,,4,A lot
842,d21a,1,Not at all
843,,2,A little
844,,3,Considerably
845,,4,A lot
846,d21b,1,Not at all
847,,2,A little
848,,3,Considerably
849,,4,A lot
850,d21c,1,Not at all
851,,2,A little
852,,3,Considerably
853,,4,A lot
854,d21d,1,Not at all
855,,2,A little
856,,3,Considerably
857,,4,A lot
858,d21e,1,Not at all
859,,2,A little
860,,3,Considerably
861,,4,A lot
862,d21f,1,Not at all
863,,2,A little
864,,3,Considerably
865,,4,A lot
866,d22a,1,Strongly disagree
867,,2,Disagree
868,,3,Agree
869,,4,Strongly agree
870,d22b,1,Strongly disagree
871,,2,Disagree
872,,3,Agree
873,,4,Strongly agree
874,d22c,1,Strongly disagree
875,,2,Disagree
876,,3,Agree
877,,4,Strongly agree
878,d22d,1,Strongly disagree
879,,2,Disagree
880,,3,Agree
881,,4,Strongly agree
882,d22e,1,Strongly disagree
883,,2,Disagree
884,,3,Agree
885,,4,Strongly agree
886,d22f,1,Strongly disagree
887,,2,Disagree
888,,3,Agree
889,,4,Strongly agree
890,d30a,1,Yes
891,,2,no
892,d30b,1,Yes
893,,2,no
894,d30c,1,Yes
895,,2,no
896,d30d,1,Yes
897,,2,no
898,d30e,1,Yes
899,,2,no
900,d30f,1,Yes
901,,2,no
902,d31a,1,Strongly disagree
903,,2,Disagree
904,,3,Agree
905,,4,Strongly agree
906,d31b,1,Strongly disagree
907,,2,Disagree
908,,3,Agree
909,,4,Strongly agree
910,d31c,1,Strongly disagree
911,,2,Disagree
912,,3,Agree
913,,4,Strongly agree
914,d32a,1,Yes
915,,2,no
916,d33a,1,Competences and didactic program
917,,2,Attention to diversity
918,,3,Didactic methodologies
919,,4,Evaluation of the teaching/learning process
920,,5,School management and participatory culture
921,,6,Training in the use of TICs
922,,7,"Speaking another language (AICLE, CLIL, PILE) "
923,,8,Improving school environment
924,,9,Other topics
925,,10,There is no Training School Plan (PFC) in mi school
926,d121a,0 a 300,Number of teachers
927,d121b,0 a 300,Number of teachers
928,d131a,0 a 300,Number of teachers
929,d131b,0 a 300,Number of teachers
930,d301,1,Yes
931,,2,no
932,d302,1,Yes
933,,2,no
934,d303,1,Yes
935,,2,no
936,d304,1,Yes
937,,2,no
938,d305,1,Yes
939,,2,no
940,d306,1,Yes
941,,2,no
942,d307,1,Yes
943,,2,no
944,d308,1,Yes
945,,2,no
946,tasa_nac_eso4,Unknown,
947,tasa_nac_pri3,Unknown,
948,tasa_nac_pri6,Unknown,
949,distnac,,Number
950,distnac_eso4,,Number
951,distnac_pri3,,Number
952,distnac_pri6,,Number
953,groups,,Number
954,island,1,Gran Canaria
955,,2,"Gran Canaria province, non capital island"
956,,3,"Tenerife province, non capital island"
957,,4,Tenerife
958,capital_island,1,Capital island (Tenerife-Gran Canaria)
959,,2,Non capital island (Small islands)
960,public_private,1,Private
961,,2,Public
962,f0,1,Mother
963,,2,Father
964,,3,Another person
965,f1n,2 a 15,Number of people
966,f2an,20 a 99,Age
967,f2bn,20 a 99,Age
968,f3a,1,No education
969,,2,Primary education
970,,3,Lower secondary education
971,,4,Upper secondary education
972,,5,Post-secondary non-tertiary education
973,,6,Short-cycle tertiary education
974,,7,Bachelor
975,,8,Master
976,,9,Doctorate
977,f3b,1,No education
978,,2,Primary education
979,,3,Lower secondary education
980,,4,Upper secondary education
981,,5,Post-secondary non-tertiary education
982,,6,Short-cycle tertiary education
983,,7,Bachelor
984,,8,Master
985,,9,Doctorate
986,mother_education,1,No education/primary education
987,,2,Lower secondary education
988,,3,Upper secondary education
989,,4,Tertiary education
990,father_education,1,No education/primary education
991,,2,Lower secondary education
992,,3,Upper secondary education
993,,4,Tertiary education
994,f4a,1,Self-employed/wage employment full time
995,,2,Wage employment part time
996,,3,Unemployed looking for job
997,,4,"Retired, pre-retired, pensioner"
998,,5,Unemployed not looking for job
999,f4b,1,Self-employed/wage employment full time
1000,,2,Wage employment part time
1001,,3,Unemployed looking for job
1002,,4,"Retired, pre-retired, pensioner"
1003,,5,Unemployed not looking for job
1004,f5a,1,Canary islands
1005,,2,Spain (excluding canary islands)
1006,,3,Another UE country
1007,,4,Another non UE country
1008,f5b,1,Canary islands
1009,,2,Spain (excluding canary islands)
1010,,3,Another UE country
1011,,4,Another non UE country
1012,f5n,1,Canary islands
1013,,2,Spain (excluding canary islands)
1014,,3,Another UE country
1015,,4,Another non UE country
1016,inmigrant,1,Spain
1017,,2,Another UE country
1018,,3,Another non UE country
1019,inmigrant2,1,Spain
1020,,2,Another country
1021,inmigrant_second_gen,1,Spain
1022,,2,Another country
1023,f6,1,Less than 2 academic years
1024,,2,Between 2 and 4 academic years
1025,,3,5 or more academic years
1026,f7,1,Spanish
1027,,2,Other language
1028,f8ta,0 a 9,Years
1029,f8tm,0 a 11,Months
1030,start_schooling_age,1,Less than 3 years old
1031,,2,Between 3 and 4 years old
1032,,3,Four or more years old
1033,f9a,1,Never/almost never
1034,,2,Once or twice per month
1035,,3,Once or twice per week
1036,,4,Every/nearly every day
1037,f9b,1,Never/almost never
1038,,2,Once or twice per month
1039,,3,Once or twice per week
1040,,4,Every/nearly every day
1041,f9c,1,Never/almost never
1042,,2,Once or twice per month
1043,,3,Once or twice per week
1044,,4,Every/nearly every day
1045,f9d,1,Never/almost never
1046,,2,Once or twice per month
1047,,3,Once or twice per week
1048,,4,Every/nearly every day
1049,f9e,1,Never/almost never
1050,,2,Once or twice per month
1051,,3,Once or twice per week
1052,,4,Every/nearly every day
1053,f9f,1,Never/almost never
1054,,2,Once or twice per month
1055,,3,Once or twice per week
1056,,4,Every/nearly every day
1057,f9g,1,Never/almost never
1058,,2,Once or twice per month
1059,,3,Once or twice per week
1060,,4,Every/nearly every day
1061,f9h,1,Never/almost never
1062,,2,Once or twice per month
1063,,3,Once or twice per week
1064,,4,Every/nearly every day
1065,f10n,0 a 20,Number of devices
1066,f11,1,From 0 to 10 books
1067,,2,From 11 to 50 books
1068,,3,From 51 to 100 books
1069,,4,From 101 to 200 books
1070,,5,More than 200 books
1071,books,1,Less than 11
1072,,2,From 11 to 50 books
1073,,3,From 51 to 100 books
1074,,4,More than 100 books
1075,f12a,1,Never/almost never
1076,,2,Sometimes
1077,,3,Once per month
1078,,4,Once per week
1079,,5,Daily
1080,f12b,1,Never/almost never
1081,,2,Sometimes
1082,,3,Once per month
1083,,4,Once per week
1084,,5,Daily
1085,f13n,0 a 20,Number of meetings
1086,f14a,1,Never/almost never
1087,,2,Sometimes
1088,,3,Once per month
1089,,4,Once per week
1090,,5,No sabe
1091,f14b,1,Never/almost never
1092,,2,Sometimes
1093,,3,Once per month
1094,,4,Once per week
1095,,5,No sabe
1096,f14c,1,Never/almost never
1097,,2,Sometimes
1098,,3,Once per month
1099,,4,Once per week
1100,,5,No sabe
1101,f15a,1,Never/almost never
1102,,2,
1103,,3,
1104,,4,Almost always/always
1105,f15b,1,Never/almost never
1106,,2,
1107,,3,
1108,,4,Almost always/always
1109,f15c,1,Never/almost never
1110,,2,
1111,,3,
1112,,4,Almost always/always
1113,f15d,1,Never/almost never
1114,,2,
1115,,3,
1116,,4,Almost always/always
1117,f15e,1,Never/almost never
1118,,2,
1119,,3,
1120,,4,Almost always/always
1121,f15f,1,Never/almost never
1122,,2,
1123,,3,
1124,,4,Almost always/always
1125,f16a,1,Never/almost never
1126,,2,Once or twice per month
1127,,3,Once or twice per week
1128,,4,Every/nearly every day
1129,f16b,1,Never/almost never
1130,,2,Once or twice per month
1131,,3,Once or twice per week
1132,,4,Every/nearly every day
1133,f16c,1,Never/almost never
1134,,2,Once or twice per month
1135,,3,Once or twice per week
1136,,4,Every/nearly every day
1137,f16d,1,Never/almost never
1138,,2,Once or twice per month
1139,,3,Once or twice per week
1140,,4,Every/nearly every day
1141,f16e,1,Never/almost never
1142,,2,Once or twice per month
1143,,3,Once or twice per week
1144,,4,Every/nearly every day
1145,f16f,1,Never/almost never
1146,,2,Once or twice per month
1147,,3,Once or twice per week
1148,,4,Every/nearly every day
1149,f17a,1,Never/almost never
1150,,2,
1151,,3,
1152,,4,Almost always/always
1153,f17b,1,Never/almost never
1154,,2,
1155,,3,
1156,,4,Almost always/always
1157,f17c,1,Never/almost never
1158,,2,
1159,,3,
1160,,4,Almost always/always
1161,f17d,1,Never/almost never
1162,,2,
1163,,3,
1164,,4,Almost always/always
1165,f18a,1,Not satisfied at all
1166,,2,
1167,,3,
1168,,4,
1169,,5,Very satisfied 
1170,f18b,1,Not satisfied at all
1171,,2,
1172,,3,
1173,,4,
1174,,5,Very satisfied 
1175,f18c,1,Not satisfied at all
1176,,2,
1177,,3,
1178,,4,
1179,,5,Very satisfied 
1180,f18d,1,Not satisfied at all
1181,,2,
1182,,3,
1183,,4,
1184,,5,Very satisfied 
1185,f18e,1,Not satisfied at all
1186,,2,
1187,,3,
1188,,4,
1189,,5,Very satisfied 
1190,f18f,1,Not satisfied at all
1191,,2,
1192,,3,
1193,,4,
1194,,5,Very satisfied 
1195,f18g,1,Not satisfied at all
1196,,2,
1197,,3,
1198,,4,
1199,,5,Very satisfied 
1200,f18h,1,Not satisfied at all
1201,,2,
1202,,3,
1203,,4,
1204,,5,Very satisfied 
1205,f18i,1,Not satisfied at all
1206,,2,
1207,,3,
1208,,4,
1209,,5,Very satisfied 
1210,f19a,1,Not satisfied at all
1211,,2,
1212,,3,
1213,,4,
1214,,5,Very satisfied 
1215,f19b,1,Not satisfied at all
1216,,2,
1217,,3,
1218,,4,
1219,,5,Very satisfied 
1220,f19c,1,Not satisfied at all
1221,,2,
1222,,3,
1223,,4,
1224,,5,Very satisfied 
1225,f19d,1,Not satisfied at all
1226,,2,
1227,,3,
1228,,4,
1229,,5,Very satisfied 
1230,f19e,1,Not satisfied at all
1231,,2,
1232,,3,
1233,,4,
1234,,5,Very satisfied 
1235,f20,1,Yes
1236,,2,No
1237,f21n,0 a 50,Hours
1238,f22,1,1 day or less
1239,,2,2 or 3 days
1240,,3,4 or 5 days
1241,,4,More than 5 days
1242,f23,1,Until finishing secondary education (4º ESO)
1243,,2,Until finishing intermediate FP
1244,,3,Until finishing Bachillerato
1245,,4,Until finishing upper FP
1246,,5,Until finishing a bachelor degree
1247,,9,I do not know
1248,f24a,11,Never had a paid job
